date,cpi,gas_price,hourly_wage,year,month,month_name,cpi_yoy_pct,gas_yoy_pct,wage_yoy_pct,real_wage,real_wage_index
2015-03-01,235.976,2.4636,20.91,2015,3,March,-0.022031284423873476,-30.27284048454658,2.0000000000000018,8.861070617350917,113.87860285579889
2015-04-01,236.222,2.469,20.92,2015,4,April,-0.10403098939391064,-32.55480434337227,1.9990248659190746,8.856076064041453,113.81441504178274
2015-05-01,237.001,2.7182500000000003,20.98,2015,5,May,0.03503321824429584,-25.988700564971744,2.1919142717973683,8.852283323699057,113.76567240222614
2015-06-01,237.657,2.8015999999999996,21.0,2015,6,June,0.1795718097550525,-24.108787517607546,1.9417475728155331,8.836264027569143,113.55979941680656
2015-07-01,238.034,2.7935,21.03,2015,7,July,0.22568611104094582,-22.64451367255106,2.037845705967989,8.834872329163062,113.54191391775966
2015-08-01,238.033,2.6362,21.11,2015,8,August,0.2413037985344868,-24.388355083895018,2.1781219748305825,8.868518230665497,113.97431632378705
2015-09-01,237.498,2.36525,21.09,2015,9,September,0.008842961634170088,-30.56044859374082,2.0813165537270084,8.880074779577091,114.12283603440872
2015-10-01,237.733,2.29,21.19,2015,10,October,0.12761656067050708,-27.771644850969878,2.3671497584541124,8.913360787101498,114.55061324048408
2015-11-01,238.017,2.158,21.21,2015,11,November,0.4363182169185187,-25.89921881706585,2.118440057775639,8.911128196725445,114.52192096572935
2015-12-01,237.761,2.0374999999999996,21.23,2015,12,December,0.6387247515364791,-19.86549201604657,2.510864316755179,8.92913471931898,114.75333291624783
2016-01-01,237.652,1.9485000000000001,21.31,2016,1,January,1.2375025026943876,-7.904998227578863,2.451923076923057,8.96689276757612,115.23858283330249
2016-02-01,237.336,1.7635999999999998,21.33,2016,2,February,0.8472775790126619,-20.424139875916538,2.3512476007677474,8.987258570128425,115.50031521766608
2016-03-01,238.08,1.96875,21.39,2016,3,March,0.8916160965521946,-20.0864588407209,2.295552367288378,8.984375,115.4632568359375
2016-04-01,238.992,2.11275,21.46,2016,4,April,1.1726257503534843,-14.428918590522466,2.581261950286806,8.979380062930979,115.3990640900114
2016-05-01,239.557,2.2682,21.48,2016,5,May,1.0784764621246223,-16.556608111836656,2.3832221163012424,8.96655075827465,115.23418747938905
2016-06-01,240.222,2.3655,21.52,2016,6,June,1.0792865347959424,-15.56610508280981,2.4761904761904763,8.958380165014027,115.12918258943807
